"path","ratio","sub_h","method","parameter","estimate","truth"
1,100,0.01,"random","epsilon",0.103967652099648,0.1
1,100,0.01,"random","y",-0.061100561338438,-0.05
1,100,0.01,"random","sigma",1.71621462485059,1.7
2,100,0.01,"random","epsilon",0.110733777114637,0.1
2,100,0.01,"random","y",-0.086267931684021,-0.05
2,100,0.01,"random","sigma",1.68103348308332,1.7
3,100,0.01,"random","epsilon",0.101597444957075,0.1
3,100,0.01,"random","y",-0.0661310717058502,-0.05
3,100,0.01,"random","sigma",1.70941116222069,1.7
4,100,0.01,"random","epsilon",0.0975331419480868,0.1
4,100,0.01,"random","y",-0.0149336465174066,-0.05
4,100,0.01,"random","sigma",1.69263339399857,1.7
5,100,0.01,"random","epsilon",0.094976691760635,0.1
5,100,0.01,"random","y",-0.0720164631272754,-0.05
5,100,0.01,"random","sigma",1.74312207533066,1.7
6,100,0.01,"random","epsilon",0.0902448216626744,0.1
6,100,0.01,"random","y",-0.00836865888903744,-0.05
6,100,0.01,"random","sigma",1.7078151349961,1.7
7,100,0.01,"random","epsilon",0.0934538101441395,0.1
7,100,0.01,"random","y",-0.0244726004410671,-0.05
7,100,0.01,"random","sigma",1.67213390938054,1.7
8,100,0.01,"random","epsilon",0.104941941280239,0.1
8,100,0.01,"random","y",0.0236680483768669,-0.05
8,100,0.01,"random","sigma",1.66046258544834,1.7
9,100,0.01,"random","epsilon",0.0892545937910994,0.1
9,100,0.01,"random","y",-0.0755168972213472,-0.05
9,100,0.01,"random","sigma",1.71584586032149,1.7
10,100,0.01,"random","epsilon",0.101282875327027,0.1
10,100,0.01,"random","y",-0.114356258794473,-0.05
10,100,0.01,"random","sigma",1.67381505130067,1.7
11,100,0.01,"random","epsilon",0.102707578513983,0.1
11,100,0.01,"random","y",-0.0158842082665297,-0.05
11,100,0.01,"random","sigma",1.71274896815201,1.7
12,100,0.01,"random","epsilon",0.0896094809773781,0.1
12,100,0.01,"random","y",-0.0361443239706534,-0.05
12,100,0.01,"random","sigma",1.70438569863024,1.7
13,100,0.01,"random","epsilon",0.10086313765955,0.1
13,100,0.01,"random","y",-0.0432122303018269,-0.05
13,100,0.01,"random","sigma",1.65524071170719,1.7
14,100,0.01,"random","epsilon",0.0996172449314694,0.1
14,100,0.01,"random","y",-0.065858518958567,-0.05
14,100,0.01,"random","sigma",1.70692017327495,1.7
15,100,0.01,"random","epsilon",0.0980755202322621,0.1
15,100,0.01,"random","y",-0.0372309752487795,-0.05
15,100,0.01,"random","sigma",1.71357795546456,1.7
16,100,0.01,"random","epsilon",0.110686458750085,0.1
16,100,0.01,"random","y",-0.0717126329216458,-0.05
16,100,0.01,"random","sigma",1.71645233993807,1.7
17,100,0.01,"random","epsilon",0.113251169685231,0.1
17,100,0.01,"random","y",-0.0524228216021794,-0.05
17,100,0.01,"random","sigma",1.68424791952527,1.7
18,100,0.01,"random","epsilon",0.101530649371501,0.1
18,100,0.01,"random","y",-0.00860861897590211,-0.05
18,100,0.01,"random","sigma",1.67427804351166,1.7
19,100,0.01,"random","epsilon",0.0966653404249946,0.1
19,100,0.01,"random","y",-0.0324685511522543,-0.05
19,100,0.01,"random","sigma",1.69908482490075,1.7
20,100,0.01,"random","epsilon",0.104975745690987,0.1
20,100,0.01,"random","y",-0.0554290267024468,-0.05
20,100,0.01,"random","sigma",1.63213593386718,1.7
21,100,0.01,"random","epsilon",0.106281683921259,0.1
21,100,0.01,"random","y",-0.0424120062693307,-0.05
21,100,0.01,"random","sigma",1.67217795340098,1.7
22,100,0.01,"random","epsilon",0.0881662017869962,0.1
22,100,0.01,"random","y",-0.0302285658540702,-0.05
22,100,0.01,"random","sigma",1.73046942508038,1.7
23,100,0.01,"random","epsilon",0.0981098176388211,0.1
23,100,0.01,"random","y",-0.0468468169087595,-0.05
23,100,0.01,"random","sigma",1.67166797266506,1.7
24,100,0.01,"random","epsilon",0.111976593961776,0.1
24,100,0.01,"random","y",0.00730440609044186,-0.05
24,100,0.01,"random","sigma",1.67671656741317,1.7
25,100,0.01,"random","epsilon",0.104609884807687,0.1
25,100,0.01,"random","y",0.0156334056706318,-0.05
25,100,0.01,"random","sigma",1.71249820826932,1.7
26,100,0.01,"random","epsilon",0.111343851497276,0.1
26,100,0.01,"random","y",-0.28333215275246,-0.05
26,100,0.01,"random","sigma",1.73000573588161,1.7
27,100,0.01,"random","epsilon",0.106997030885098,0.1
27,100,0.01,"random","y",-0.0634269282736116,-0.05
27,100,0.01,"random","sigma",1.72356293903044,1.7
28,100,0.01,"random","epsilon",0.0968495747285681,0.1
28,100,0.01,"random","y",-0.0689177509105656,-0.05
28,100,0.01,"random","sigma",1.70312223080218,1.7
29,100,0.01,"random","epsilon",0.0990949842224804,0.1
29,100,0.01,"random","y",-0.0195812728024954,-0.05
29,100,0.01,"random","sigma",1.69136882079672,1.7
30,100,0.01,"random","epsilon",0.087316048202154,0.1
30,100,0.01,"random","y",0.00559644851395193,-0.05
30,100,0.01,"random","sigma",1.71517602896683,1.7
31,100,0.01,"random","epsilon",0.0974569742571815,0.1
31,100,0.01,"random","y",-0.0835505768856281,-0.05
31,100,0.01,"random","sigma",1.64008180848668,1.7
32,100,0.01,"random","epsilon",0.113527406775989,0.1
32,100,0.01,"random","y",-0.0426993756727435,-0.05
32,100,0.01,"random","sigma",1.68186805640918,1.7
33,100,0.01,"random","epsilon",0.105989298646691,0.1
33,100,0.01,"random","y",-0.056968625111743,-0.05
33,100,0.01,"random","sigma",1.69610456204115,1.7
34,100,0.01,"random","epsilon",0.094671265755701,0.1
34,100,0.01,"random","y",-0.0894300677792364,-0.05
34,100,0.01,"random","sigma",1.72792060787924,1.7
35,100,0.01,"random","epsilon",0.111355041714543,0.1
35,100,0.01,"random","y",-0.0582172919976755,-0.05
35,100,0.01,"random","sigma",1.67047656249034,1.7
36,100,0.01,"random","epsilon",0.0987312602685432,0.1
36,100,0.01,"random","y",-0.0672110292949674,-0.05
36,100,0.01,"random","sigma",1.69834405238906,1.7
37,100,0.01,"random","epsilon",0.111044903724129,0.1
37,100,0.01,"random","y",-0.051276549475171,-0.05
37,100,0.01,"random","sigma",1.6668611080111,1.7
38,100,0.01,"random","epsilon",0.10259433144766,0.1
38,100,0.01,"random","y",-0.0633956565990486,-0.05
38,100,0.01,"random","sigma",1.68810448455315,1.7
39,100,0.01,"random","epsilon",0.109727980722425,0.1
39,100,0.01,"random","y",-0.0299149901527106,-0.05
39,100,0.01,"random","sigma",1.7077934091253,1.7
40,100,0.01,"random","epsilon",0.104414041082127,0.1
40,100,0.01,"random","y",-0.0542794060527713,-0.05
