"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
1,200,0.02,"Fixed point linearization","fix","epsilon",0.0522051578498034,0.1
1,200,0.02,"Fixed point linearization","fix","alpha",0.495933844415555,0.5
1,200,0.02,"Fixed point linearization","fix","gamma",1.01011611540915,1.5
1,200,0.02,"Fixed point linearization","fix","beta",0.206178670250802,1.4
1,200,0.02,"Fixed point linearization","fix","sigma[1]",0.3233433732591,0.3
1,200,0.02,"Fixed point linearization","fix","sigma[2]",0.461037812383673,0.5
2,200,0.02,"Fixed point linearization","fix","epsilon",0.0508445947093208,0.1
2,200,0.02,"Fixed point linearization","fix","alpha",0.506067299551509,0.5
2,200,0.02,"Fixed point linearization","fix","gamma",1.02556640794996,1.5
2,200,0.02,"Fixed point linearization","fix","beta",0.289240803184053,1.4
2,200,0.02,"Fixed point linearization","fix","sigma[1]",0.327211958596774,0.3
2,200,0.02,"Fixed point linearization","fix","sigma[2]",0.517583641078476,0.5
3,200,0.02,"Fixed point linearization","fix","epsilon",0.051222345614649,0.1
3,200,0.02,"Fixed point linearization","fix","alpha",0.497710444029949,0.5
3,200,0.02,"Fixed point linearization","fix","gamma",1.21542549857929,1.5
3,200,0.02,"Fixed point linearization","fix","beta",0.845171985156551,1.4
3,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314053553147105,0.3
3,200,0.02,"Fixed point linearization","fix","sigma[2]",0.504598671844132,0.5
4,200,0.02,"Fixed point linearization","fix","epsilon",0.0526500303988759,0.1
4,200,0.02,"Fixed point linearization","fix","alpha",0.487916431110596,0.5
4,200,0.02,"Fixed point linearization","fix","gamma",1.16443878116098,1.5
4,200,0.02,"Fixed point linearization","fix","beta",0.846329346057607,1.4
4,200,0.02,"Fixed point linearization","fix","sigma[1]",0.313425656008182,0.3
4,200,0.02,"Fixed point linearization","fix","sigma[2]",0.525081879743402,0.5
5,200,0.02,"Fixed point linearization","fix","epsilon",0.0505348840226044,0.1
5,200,0.02,"Fixed point linearization","fix","alpha",0.503655210612733,0.5
5,200,0.02,"Fixed point linearization","fix","gamma",1.25128566400219,1.5
5,200,0.02,"Fixed point linearization","fix","beta",0.168368959277778,1.4
5,200,0.02,"Fixed point linearization","fix","sigma[1]",0.3207015365696,0.3
5,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496162621316255,0.5
6,200,0.02,"Fixed point linearization","fix","epsilon",0.0507180376290669,0.1
6,200,0.02,"Fixed point linearization","fix","alpha",0.505213767138769,0.5
6,200,0.02,"Fixed point linearization","fix","gamma",1.43327859023286,1.5
6,200,0.02,"Fixed point linearization","fix","beta",0.0172330603007351,1.4
