"path","ratio","sub_h","method","parameter","estimate","truth"
1,200,0.02,"fix","epsilon",0.0973230518659761,0.1
1,200,0.02,"fix","alpha",0.502862206800629,0.5
1,200,0.02,"fix","gamma",1.10648945824371,1.5
1,200,0.02,"fix","beta",1.19026257025241,1.4
1,200,0.02,"fix","sigma[1]",0.30245603464572,0.3
1,200,0.02,"fix","sigma[2]",0.506523554614391,0.5
2,200,0.02,"fix","epsilon",0.102580991413381,0.1
2,200,0.02,"fix","alpha",0.485150405697027,0.5
2,200,0.02,"fix","gamma",1.01000167419394,1.5
2,200,0.02,"fix","beta",0.810850031215764,1.4
2,200,0.02,"fix","sigma[1]",0.308238616694977,0.3
2,200,0.02,"fix","sigma[2]",0.503323395006701,0.5
3,200,0.02,"fix","epsilon",0.1324723040679,0.1
3,200,0.02,"fix","alpha",0.533832579280852,0.5
3,200,0.02,"fix","gamma",1.01000006703347,1.5
3,200,0.02,"fix","beta",0.864828493296604,1.4
3,200,0.02,"fix","sigma[1]",0.412999347680725,0.3
3,200,0.02,"fix","sigma[2]",0.502971477390893,0.5
4,200,0.02,"fix","epsilon",0.0982692495787552,0.1
4,200,0.02,"fix","alpha",0.495776372101636,0.5
4,200,0.02,"fix","gamma",1.10719214314356,1.5
4,200,0.02,"fix","beta",1.13054089708392,1.4
4,200,0.02,"fix","sigma[1]",0.304822060646717,0.3
4,200,0.02,"fix","sigma[2]",0.499043101347418,0.5
5,200,0.02,"fix","epsilon",0.100984982327921,0.1
5,200,0.02,"fix","alpha",0.506873185173071,0.5
5,200,0.02,"fix","gamma",1.16131059587273,1.5
5,200,0.02,"fix","beta",1.13678368794507,1.4
5,200,0.02,"fix","sigma[1]",0.305397412480892,0.3
5,200,0.02,"fix","sigma[2]",0.50974538369301,0.5
6,200,0.02,"fix","epsilon",0.101198705559549,0.1
6,200,0.02,"fix","alpha",0.498094210613365,0.5
6,200,0.02,"fix","gamma",1.21991233645337,1.5
6,200,0.02,"fix","beta",1.28445072574424,1.4
6,200,0.02,"fix","sigma[1]",0.305103785126468,0.3
6,200,0.02,"fix","sigma[2]",0.487115926400317,0.5
7,200,0.02,"fix","epsilon",0.0982561318903956,0.1
7,200,0.02,"fix","alpha",0.500124564960508,0.5
7,200,0.02,"fix","gamma",1.01000348341923,1.5
7,200,0.02,"fix","beta",0.823761292631543,1.4
7,200,0.02,"fix","sigma[1]",0.302715253180916,0.3
7,200,0.02,"fix","sigma[2]",0.505923440606393,0.5
8,200,0.02,"fix","epsilon",0.103680562157459,0.1
8,200,0.02,"fix","alpha",0.488961720509907,0.5
8,200,0.02,"fix","gamma",1.01225402182055,1.5
8,200,0.02,"fix","beta",0.89526643361601,1.4
8,200,0.02,"fix","sigma[1]",0.299377855402176,0.3
8,200,0.02,"fix","sigma[2]",0.521569970924403,0.5
9,200,0.02,"fix","epsilon",0.0997128553137005,0.1
9,200,0.02,"fix","alpha",0.497066480275649,0.5
9,200,0.02,"fix","gamma",1.47247739321988,1.5
9,200,0.02,"fix","beta",1.15976877738807,1.4
9,200,0.02,"fix","sigma[1]",0.299997071434711,0.3
9,200,0.02,"fix","sigma[2]",0.495194366997719,0.5
10,200,0.02,"fix","epsilon",0.0971051633759291,0.1
10,200,0.02,"fix","alpha",0.510568583290263,0.5
10,200,0.02,"fix","gamma",1.21321081595817,1.5
10,200,0.02,"fix","beta",1.00660974381242,1.4
10,200,0.02,"fix","sigma[1]",0.304963779051122,0.3
10,200,0.02,"fix","sigma[2]",0.507460215262594,0.5
11,200,0.02,"fix","epsilon",0.101223431509656,0.1
11,200,0.02,"fix","alpha",0.503934298915508,0.5
11,200,0.02,"fix","gamma",1.25883930524098,1.5
11,200,0.02,"fix","beta",1.20864887737646,1.4
11,200,0.02,"fix","sigma[1]",0.291568416271972,0.3
11,200,0.02,"fix","sigma[2]",0.485014290787231,0.5
12,200,0.02,"fix","epsilon",0.102995000265826,0.1
12,200,0.02,"fix","alpha",0.495647035707808,0.5
12,200,0.02,"fix","gamma",1.38384469971097,1.5
12,200,0.02,"fix","beta",1.10083413092516,1.4
12,200,0.02,"fix","sigma[1]",0.299185752800814,0.3
12,200,0.02,"fix","sigma[2]",0.494214669512879,0.5
13,200,0.02,"fix","epsilon",0.103878686884192,0.1
13,200,0.02,"fix","alpha",0.491408561590285,0.5
13,200,0.02,"fix","gamma",1.15619699726361,1.5
13,200,0.02,"fix","beta",1.12744887882565,1.4
13,200,0.02,"fix","sigma[1]",0.303537040359269,0.3
13,200,0.02,"fix","sigma[2]",0.485233811095503,0.5
14,200,0.02,"fix","epsilon",0.0977397252952869,0.1
14,200,0.02,"fix","alpha",0.501660654051437,0.5
14,200,0.02,"fix","gamma",1.1865208304802,1.5
14,200,0.02,"fix","beta",1.05422123750745,1.4
14,200,0.02,"fix","sigma[1]",0.308174537904309,0.3
14,200,0.02,"fix","sigma[2]",0.499016605889881,0.5
15,200,0.02,"fix","epsilon",0.104050174065661,0.1
15,200,0.02,"fix","alpha",0.498454360865738,0.5
15,200,0.02,"fix","gamma",1.18659390895471,1.5
15,200,0.02,"fix","beta",1.06652349616691,1.4
15,200,0.02,"fix","sigma[1]",0.3019892748594,0.3
15,200,0.02,"fix","sigma[2]",0.502114732309554,0.5
16,200,0.02,"fix","epsilon",0.0961303758785742,0.1
16,200,0.02,"fix","alpha",0.503012862441404,0.5
16,200,0.02,"fix","gamma",1.37060858647675,1.5
16,200,0.02,"fix","beta",1.36938146368528,1.4
16,200,0.02,"fix","sigma[1]",0.313549771629505,0.3
16,200,0.02,"fix","sigma[2]",0.497222587585864,0.5
17,200,0.02,"fix","epsilon",0.113904206155672,0.1
17,200,0.02,"fix","alpha",0.516182971415292,0.5
17,200,0.02,"fix","gamma",1.01000001680677,1.5
17,200,0.02,"fix","beta",1.9108379771331,1.4
17,200,0.02,"fix","sigma[1]",0.29678456922958,0.3
17,200,0.02,"fix","sigma[2]",0.520382818202268,0.5
18,200,0.02,"fix","epsilon",0.0981424377520458,0.1
18,200,0.02,"fix","alpha",0.506916674788267,0.5
18,200,0.02,"fix","gamma",1.21762352837325,1.5
18,200,0.02,"fix","beta",1.3368168109711,1.4
18,200,0.02,"fix","sigma[1]",0.306037367620672,0.3
18,200,0.02,"fix","sigma[2]",0.501968771764874,0.5
19,200,0.02,"fix","epsilon",0.101894777438435,0.1
19,200,0.02,"fix","alpha",0.505604948854997,0.5
19,200,0.02,"fix","gamma",1.37248821042568,1.5
19,200,0.02,"fix","beta",1.41766411101863,1.4
19,200,0.02,"fix","sigma[1]",0.305959130301962,0.3
19,200,0.02,"fix","sigma[2]",0.511101164970948,0.5
20,200,0.02,"fix","epsilon",0.0990060988405248,0.1
20,200,0.02,"fix","alpha",0.507979524618261,0.5
20,200,0.02,"fix","gamma",1.01000041791721,1.5
20,200,0.02,"fix","beta",0.749755468018986,1.4
20,200,0.02,"fix","sigma[1]",0.321358783592218,0.3
20,200,0.02,"fix","sigma[2]",0.506468683058823,0.5
21,200,0.02,"fix","epsilon",0.099481702801388,0.1
21,200,0.02,"fix","alpha",0.496519510800997,0.5
21,200,0.02,"fix","gamma",1.01630664281265,1.5
21,200,0.02,"fix","beta",0.799465828219206,1.4
21,200,0.02,"fix","sigma[1]",0.290780708697613,0.3
21,200,0.02,"fix","sigma[2]",0.50923615170115,0.5
22,200,0.02,"fix","epsilon",0.0966274579237099,0.1
22,200,0.02,"fix","alpha",0.500585587697269,0.5
22,200,0.02,"fix","gamma",1.20288946887689,1.5
22,200,0.02,"fix","beta",1.16697131321454,1.4
22,200,0.02,"fix","sigma[1]",0.299085945572461,0.3
22,200,0.02,"fix","sigma[2]",0.492355000986857,0.5
23,200,0.02,"fix","epsilon",0.100234650628429,0.1
23,200,0.02,"fix","alpha",0.49341589606076,0.5
23,200,0.02,"fix","gamma",1.231802643696,1.5
23,200,0.02,"fix","beta",1.2770200216768,1.4
23,200,0.02,"fix","sigma[1]",0.296408448401309,0.3
23,200,0.02,"fix","sigma[2]",0.502749668751208,0.5
24,200,0.02,"fix","epsilon",0.0993163839311524,0.1
24,200,0.02,"fix","alpha",0.492358087304644,0.5
24,200,0.02,"fix","gamma",1.15710160161839,1.5
24,200,0.02,"fix","beta",1.02736503727601,1.4
24,200,0.02,"fix","sigma[1]",0.292211815624146,0.3
24,200,0.02,"fix","sigma[2]",0.492025678863393,0.5
25,200,0.02,"fix","epsilon",0.103906512314559,0.1
25,200,0.02,"fix","alpha",0.491761694217378,0.5
25,200,0.02,"fix","gamma",1.17062466229139,1.5
25,200,0.02,"fix","beta",1.06038721551281,1.4
25,200,0.02,"fix","sigma[1]",0.302062111259682,0.3
25,200,0.02,"fix","sigma[2]",0.49806058903829,0.5
26,200,0.02,"fix","epsilon",0.102316603118685,0.1
26,200,0.02,"fix","alpha",0.492125782250419,0.5
26,200,0.02,"fix","gamma",1.20728879060811,1.5
26,200,0.02,"fix","beta",1.04624381525919,1.4
26,200,0.02,"fix","sigma[1]",0.31060741748097,0.3
26,200,0.02,"fix","sigma[2]",0.479117958107127,0.5
27,200,0.02,"fix","epsilon",0.102996122878697,0.1
27,200,0.02,"fix","alpha",0.495747162233127,0.5
27,200,0.02,"fix","gamma",1.03680610403834,1.5
27,200,0.02,"fix","beta",0.896729006759291,1.4
27,200,0.02,"fix","sigma[1]",0.313954766843686,0.3
27,200,0.02,"fix","sigma[2]",0.495087215243623,0.5
28,200,0.02,"fix","epsilon",0.103829633571434,0.1
28,200,0.02,"fix","alpha",0.486031858795782,0.5
28,200,0.02,"fix","gamma",1.01000227770444,1.5
28,200,0.02,"fix","beta",0.602189130193461,1.4
28,200,0.02,"fix","sigma[1]",0.314268016653269,0.3
28,200,0.02,"fix","sigma[2]",0.505452734178233,0.5
29,200,0.02,"fix","epsilon",0.103914502227627,0.1
29,200,0.02,"fix","alpha",0.493641669167534,0.5
29,200,0.02,"fix","gamma",1.75056389844526,1.5
29,200,0.02,"fix","beta",1.35950468220658,1.4
29,200,0.02,"fix","sigma[1]",0.287538804960273,0.3
29,200,0.02,"fix","sigma[2]",0.501247962157274,0.5
30,200,0.02,"fix","epsilon",0.105201032331558,0.1
30,200,0.02,"fix","alpha",0.494342374843078,0.5
30,200,0.02,"fix","gamma",1.10944305734606,1.5
30,200,0.02,"fix","beta",1.09067184597075,1.4
30,200,0.02,"fix","sigma[1]",0.303963570961746,0.3
30,200,0.02,"fix","sigma[2]",0.515747108433102,0.5
31,200,0.02,"fix","epsilon",0.107461095640051,0.1
31,200,0.02,"fix","alpha",0.492725703909912,0.5
31,200,0.02,"fix","gamma",1.01007406230937,1.5
31,200,0.02,"fix","beta",0.8297566400684,1.4
31,200,0.02,"fix","sigma[1]",0.287735285620248,0.3
31,200,0.02,"fix","sigma[2]",0.503613181999742,0.5
32,200,0.02,"fix","epsilon",0.102498298465732,0.1
32,200,0.02,"fix","alpha",0.512640328992463,0.5
32,200,0.02,"fix","gamma",1.07619521968272,1.5
32,200,0.02,"fix","beta",1.13264207427693,1.4
32,200,0.02,"fix","sigma[1]",0.308843325610654,0.3
32,200,0.02,"fix","sigma[2]",0.503255206586123,0.5
33,200,0.02,"fix","epsilon",0.0997591186546809,0.1
33,200,0.02,"fix","alpha",0.504864089387852,0.5
33,200,0.02,"fix","gamma",1.20091847647395,1.5
33,200,0.02,"fix","beta",1.04189134743227,1.4
33,200,0.02,"fix","sigma[1]",0.307485037997167,0.3
33,200,0.02,"fix","sigma[2]",0.502336161203694,0.5
34,200,0.02,"fix","epsilon",0.103129748651933,0.1
34,200,0.02,"fix","alpha",0.495217712933898,0.5
34,200,0.02,"fix","gamma",1.29346480950846,1.5
34,200,0.02,"fix","beta",1.36353830840183,1.4
34,200,0.02,"fix","sigma[1]",0.316219148246661,0.3
34,200,0.02,"fix","sigma[2]",0.487815537325222,0.5
35,200,0.02,"fix","epsilon",0.102747403300741,0.1
35,200,0.02,"fix","alpha",0.495033542245978,0.5
35,200,0.02,"fix","gamma",1.64714814738663,1.5
35,200,0.02,"fix","beta",1.55231256225653,1.4
35,200,0.02,"fix","sigma[1]",0.2937844923203,0.3
35,200,0.02,"fix","sigma[2]",0.506117659604305,0.5
36,200,0.02,"fix","epsilon",0.105742760363655,0.1
36,200,0.02,"fix","alpha",0.507511671667972,0.5
36,200,0.02,"fix","gamma",1.58603311726384,1.5
36,200,0.02,"fix","beta",1.14064542581294,1.4
36,200,0.02,"fix","sigma[1]",0.292298476126066,0.3
36,200,0.02,"fix","sigma[2]",0.495125206641139,0.5
37,200,0.02,"fix","epsilon",0.0996326704758842,0.1
37,200,0.02,"fix","alpha",0.499227793240379,0.5
37,200,0.02,"fix","gamma",1.21526809520518,1.5
37,200,0.02,"fix","beta",0.984662948709831,1.4
37,200,0.02,"fix","sigma[1]",0.30758961656052,0.3
37,200,0.02,"fix","sigma[2]",0.508374524842456,0.5
38,200,0.02,"fix","epsilon",0.0988685866421279,0.1
38,200,0.02,"fix","alpha",0.492472410037961,0.5
38,200,0.02,"fix","gamma",1.19268182105564,1.5
38,200,0.02,"fix","beta",1.04551692548432,1.4
38,200,0.02,"fix","sigma[1]",0.303030168548773,0.3
38,200,0.02,"fix","sigma[2]",0.494917442721353,0.5
39,200,0.02,"fix","epsilon",0.100101777608374,0.1
39,200,0.02,"fix","alpha",0.499637963746581,0.5
39,200,0.02,"fix","gamma",1.77524800899125,1.5
39,200,0.02,"fix","beta",1.48745898561454,1.4
39,200,0.02,"fix","sigma[1]",0.305336688707113,0.3
39,200,0.02,"fix","sigma[2]",0.516487956999837,0.5
40,200,0.02,"fix","epsilon",0.101855264035387,0.1
40,200,0.02,"fix","alpha",0.503025840940662,0.5
40,200,0.02,"fix","gamma",1.11850582892396,1.5
40,200,0.02,"fix","beta",1.20082715695267,1.4
40,200,0.02,"fix","sigma[1]",0.299650266572268,0.3
40,200,0.02,"fix","sigma[2]",0.486194548757351,0.5
41,200,0.02,"fix","epsilon",0.100162866617471,0.1
41,200,0.02,"fix","alpha",0.495923402317774,0.5
41,200,0.02,"fix","gamma",1.06881095875691,1.5
41,200,0.02,"fix","beta",1.01182395478844,1.4
41,200,0.02,"fix","sigma[1]",0.292581162058323,0.3
41,200,0.02,"fix","sigma[2]",0.483280177048047,0.5
42,200,0.02,"fix","epsilon",0.103824449718108,0.1
42,200,0.02,"fix","alpha",0.496005946497774,0.5
42,200,0.02,"fix","gamma",1.01000017015885,1.5
42,200,0.02,"fix","beta",0.919042964766218,1.4
42,200,0.02,"fix","sigma[1]",0.293023106747213,0.3
42,200,0.02,"fix","sigma[2]",0.512990752551013,0.5
43,200,0.02,"fix","epsilon",0.0989386540274287,0.1
43,200,0.02,"fix","alpha",0.494936325455165,0.5
43,200,0.02,"fix","gamma",1.01012215260231,1.5
43,200,0.02,"fix","beta",0.727040030889439,1.4
43,200,0.02,"fix","sigma[1]",0.310050077453528,0.3
43,200,0.02,"fix","sigma[2]",0.509081189116981,0.5
44,200,0.02,"fix","epsilon",0.104011939669066,0.1
44,200,0.02,"fix","alpha",0.497171450483958,0.5
44,200,0.02,"fix","gamma",1.18428652481523,1.5
44,200,0.02,"fix","beta",1.05107751570382,1.4
44,200,0.02,"fix","sigma[1]",0.286985494810031,0.3
44,200,0.02,"fix","sigma[2]",0.507827320009083,0.5
