"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
1,200,0.02,"Fixed point linearization","fix","epsilon",0.0981827955447822,0.1
1,200,0.02,"Fixed point linearization","fix","alpha",0.510556630627628,0.5
1,200,0.02,"Fixed point linearization","fix","gamma",1.42800736902732,1.5
1,200,0.02,"Fixed point linearization","fix","beta",0.804305296061784,0.6
1,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311837204117304,0.3
1,200,0.02,"Fixed point linearization","fix","sigma[2]",0.490557783480442,0.5
2,200,0.02,"Fixed point linearization","fix","epsilon",0.0997480585850448,0.1
2,200,0.02,"Fixed point linearization","fix","alpha",0.504152468576724,0.5
2,200,0.02,"Fixed point linearization","fix","gamma",1.50480911928291,1.5
2,200,0.02,"Fixed point linearization","fix","beta",0.624375876069146,0.6
2,200,0.02,"Fixed point linearization","fix","sigma[1]",0.304717102969426,0.3
2,200,0.02,"Fixed point linearization","fix","sigma[2]",0.488998418258698,0.5
3,200,0.02,"Fixed point linearization","fix","epsilon",0.0994474039513987,0.1
3,200,0.02,"Fixed point linearization","fix","alpha",0.499239600576688,0.5
3,200,0.02,"Fixed point linearization","fix","gamma",1.58209612445443,1.5
3,200,0.02,"Fixed point linearization","fix","beta",0.78210020307184,0.6
3,200,0.02,"Fixed point linearization","fix","sigma[1]",0.307236923157198,0.3
3,200,0.02,"Fixed point linearization","fix","sigma[2]",0.490475149133925,0.5
4,200,0.02,"Fixed point linearization","fix","epsilon",0.100510688263184,0.1
4,200,0.02,"Fixed point linearization","fix","alpha",0.502874424171606,0.5
4,200,0.02,"Fixed point linearization","fix","gamma",1.28450429059681,1.5
4,200,0.02,"Fixed point linearization","fix","beta",0.686844626498412,0.6
4,200,0.02,"Fixed point linearization","fix","sigma[1]",0.315019866990652,0.3
4,200,0.02,"Fixed point linearization","fix","sigma[2]",0.518502428910659,0.5
5,200,0.02,"Fixed point linearization","fix","epsilon",0.100009089158455,0.1
5,200,0.02,"Fixed point linearization","fix","alpha",0.498657750387369,0.5
5,200,0.02,"Fixed point linearization","fix","gamma",1.27681475035258,1.5
5,200,0.02,"Fixed point linearization","fix","beta",0.773370800938,0.6
5,200,0.02,"Fixed point linearization","fix","sigma[1]",0.299157806655468,0.3
5,200,0.02,"Fixed point linearization","fix","sigma[2]",0.497185804437339,0.5
6,200,0.02,"Fixed point linearization","fix","epsilon",0.0988275298080522,0.1
6,200,0.02,"Fixed point linearization","fix","alpha",0.503809495996596,0.5
6,200,0.02,"Fixed point linearization","fix","gamma",1.10619616195785,1.5
6,200,0.02,"Fixed point linearization","fix","beta",0.677603045013696,0.6
6,200,0.02,"Fixed point linearization","fix","sigma[1]",0.294690920544353,0.3
6,200,0.02,"Fixed point linearization","fix","sigma[2]",0.495335937761241,0.5
7,200,0.02,"Fixed point linearization","fix","epsilon",0.0994188466703864,0.1
7,200,0.02,"Fixed point linearization","fix","alpha",0.501940195962629,0.5
7,200,0.02,"Fixed point linearization","fix","gamma",1.20466067766204,1.5
7,200,0.02,"Fixed point linearization","fix","beta",0.840350569679256,0.6
7,200,0.02,"Fixed point linearization","fix","sigma[1]",0.29997025698326,0.3
7,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496630709054541,0.5
8,200,0.02,"Fixed point linearization","fix","epsilon",0.0988908024390275,0.1
8,200,0.02,"Fixed point linearization","fix","alpha",0.498837467055142,0.5
8,200,0.02,"Fixed point linearization","fix","gamma",1.19020229951847,1.5
8,200,0.02,"Fixed point linearization","fix","beta",0.586313935562453,0.6
8,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311519118386349,0.3
8,200,0.02,"Fixed point linearization","fix","sigma[2]",0.50679388149063,0.5
9,200,0.02,"Fixed point linearization","fix","epsilon",0.0989885562596503,0.1
9,200,0.02,"Fixed point linearization","fix","alpha",0.485037829138602,0.5
9,200,0.02,"Fixed point linearization","fix","gamma",1.27050539236395,1.5
9,200,0.02,"Fixed point linearization","fix","beta",0.742243894187277,0.6
9,200,0.02,"Fixed point linearization","fix","sigma[1]",0.309360324938558,0.3
9,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496166057581613,0.5
10,200,0.02,"Fixed point linearization","fix","epsilon",0.101258534906133,0.1
10,200,0.02,"Fixed point linearization","fix","alpha",0.493564398155817,0.5
10,200,0.02,"Fixed point linearization","fix","gamma",1.46735925790428,1.5
10,200,0.02,"Fixed point linearization","fix","beta",0.807625028558503,0.6
10,200,0.02,"Fixed point linearization","fix","sigma[1]",0.295737581313539,0.3
10,200,0.02,"Fixed point linearization","fix","sigma[2]",0.491818082103042,0.5
11,200,0.02,"Fixed point linearization","fix","epsilon",0.0989502871012469,0.1
11,200,0.02,"Fixed point linearization","fix","alpha",0.495183682283501,0.5
11,200,0.02,"Fixed point linearization","fix","gamma",1.30724662361379,1.5
11,200,0.02,"Fixed point linearization","fix","beta",0.739979065442719,0.6
11,200,0.02,"Fixed point linearization","fix","sigma[1]",0.307863198799466,0.3
11,200,0.02,"Fixed point linearization","fix","sigma[2]",0.487530145128771,0.5
12,200,0.02,"Fixed point linearization","fix","epsilon",0.101804355695912,0.1
12,200,0.02,"Fixed point linearization","fix","alpha",0.492263474778828,0.5
12,200,0.02,"Fixed point linearization","fix","gamma",1.3059159860957,1.5
12,200,0.02,"Fixed point linearization","fix","beta",0.749163542189947,0.6
12,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31481821580198,0.3
12,200,0.02,"Fixed point linearization","fix","sigma[2]",0.518409540337096,0.5
13,200,0.02,"Fixed point linearization","fix","epsilon",0.0977682454330874,0.1
13,200,0.02,"Fixed point linearization","fix","alpha",0.48836464674358,0.5
13,200,0.02,"Fixed point linearization","fix","gamma",1.32433923609212,1.5
13,200,0.02,"Fixed point linearization","fix","beta",0.74621536869479,0.6
13,200,0.02,"Fixed point linearization","fix","sigma[1]",0.301765924875998,0.3
13,200,0.02,"Fixed point linearization","fix","sigma[2]",0.486744518306236,0.5
14,200,0.02,"Fixed point linearization","fix","epsilon",0.0986408240759319,0.1
14,200,0.02,"Fixed point linearization","fix","alpha",0.493396881510017,0.5
